filename,start_year,end_year,span_years,page_count,is_multi_year,equal_split_pages_per_year
1700.pdf,1700,1700,1,12,0,12.0
1701.pdf,1701,1701,1,5,0,5.0
1702.pdf,1702,1702,1,6,0,6.0
1703.pdf,1703,1703,1,6,0,6.0
1704.pdf,1704,1704,1,7,0,7.0
1705.pdf,1705,1705,1,7,0,7.0
1706.pdf,1706,1706,1,7,0,7.0
1707.pdf,1707,1707,1,6,0,6.0
1708.pdf,1708,1708,1,7,0,7.0
1709.pdf,1709,1709,1,7,0,7.0
1710.pdf,1710,1710,1,7,0,7.0
1711.pdf,1711,1711,1,7,0,7.0
1712.pdf,1712,1712,1,7,0,7.0
1713.pdf,1713,1713,1,7,0,7.0
1714.pdf,1714,1714,1,8,0,8.0
1715.pdf,1715,1715,1,7,0,7.0
1716.pdf,1716,1716,1,8,0,8.0
1717.pdf,1717,1717,1,7,0,7.0
1718.pdf,1718,1718,1,7,0,7.0
1719.pdf,1719,1719,1,6,0,6.0
1720.pdf,1720,1720,1,7,0,7.0
1721-1722.pdf,1721,1722,2,13,1,6.5
1723.pdf,1723,1723,1,7,0,7.0
1724.pdf,1724,1724,1,7,0,7.0
1725.pdf,1725,1725,1,6,0,6.0
1726.pdf,1726,1726,1,6,0,6.0
1727.pdf,1727,1727,1,6,0,6.0
1728.pdf,1728,1728,1,6,0,6.0
1729.pdf,1729,1729,1,6,0,6.0
1730.pdf,1730,1730,1,9,0,9.0
1731.pdf,1731,1731,1,7,0,7.0
1732.pdf,1732,1732,1,7,0,7.0
1733.pdf,1733,1733,1,6,0,6.0
1734.pdf,1734,1734,1,5,0,5.0
1735.pdf,1735,1735,1,5,0,5.0
1736.pdf,1736,1736,1,5,0,5.0
1737.pdf,1737,1737,1,5,0,5.0
1738.pdf,1738,1738,1,5,0,5.0
1739.pdf,1739,1739,1,6,0,6.0
1740.pdf,1740,1740,1,5,0,5.0
1741.pdf,1741,1741,1,5,0,5.0
1742.pdf,1742,1742,1,5,0,5.0
1743.pdf,1743,1743,1,7,0,7.0
1744.pdf,1744,1744,1,7,0,7.0
1745.pdf,1745,1745,1,6,0,6.0
1746.pdf,1746,1746,1,7,0,7.0
1747.pdf,1747,1747,1,7,0,7.0
1748.pdf,1748,1748,1,7,0,7.0
1749.pdf,1749,1749,1,7,0,7.0
1750.pdf,1750,1750,1,8,0,8.0
1751.pdf,1751,1751,1,7,0,7.0
1752.pdf,1752,1752,1,8,0,8.0
1753.pdf,1753,1753,1,6,0,6.0
1754.pdf,1754,1754,1,9,0,9.0
1755.pdf,1755,1755,1,8,0,8.0
1756.pdf,1756,1756,1,7,0,7.0
1757.pdf,1757,1757,1,8,0,8.0
1758.pdf,1758,1758,1,7,0,7.0
1759-1760.pdf,1759,1760,2,12,1,6.0
1761.pdf,1761,1761,1,8,0,8.0
1762.pdf,1762,1762,1,8,0,8.0
1763.pdf,1763,1763,1,9,0,9.0
1764.pdf,1764,1764,1,8,0,8.0
1765.pdf,1765,1765,1,8,0,8.0
1766.pdf,1766,1766,1,10,0,10.0
1767-1768.pdf,1767,1768,2,14,1,7.0
1767.pdf,1767,1767,1,8,0,8.0
1769-1770.pdf,1769,1770,2,6,1,3.0
1770-1771.pdf,1770,1771,2,6,1,3.0
1771-1772.pdf,1771,1772,2,9,1,4.5
1772-1773.pdf,1772,1773,2,8,1,4.0
1773-1774.pdf,1773,1774,2,12,1,6.0
1774-1775.pdf,1774,1775,2,11,1,5.5
1775-1776.pdf,1775,1776,2,9,1,4.5
1776-1777.pdf,1776,1777,2,16,1,8.0
1778-1779.pdf,1778,1779,2,9,1,4.5
1779-1780.pdf,1779,1780,2,7,1,3.5
1780-1781.pdf,1780,1781,2,10,1,5.0
1781-1782.pdf,1781,1782,2,9,1,4.5
1782-1783.pdf,1782,1783,2,9,1,4.5
1783-1784.pdf,1783,1784,2,6,1,3.0
1784-1785.pdf,1784,1785,2,8,1,4.0
1785-1786.pdf,1785,1786,2,10,1,5.0
1786-1787.pdf,1786,1787,2,11,1,5.5
1787-1788.pdf,1787,1788,2,10,1,5.0
1788-1789.pdf,1788,1789,2,9,1,4.5
1789-1790.pdf,1789,1790,2,11,1,5.5
1790-1791.pdf,1790,1791,2,10,1,5.0
1791-1792.pdf,1791,1792,2,6,1,3.0
1792-1793.pdf,1792,1793,2,9,1,4.5
1793-1794.pdf,1793,1794,2,12,1,6.0
1794-1795.pdf,1794,1795,2,10,1,5.0
1795-1796.pdf,1795,1796,2,10,1,5.0
1796-1797.pdf,1796,1797,2,8,1,4.0
1797-1798.pdf,1797,1798,2,8,1,4.0
1798-1799.pdf,1798,1799,2,8,1,4.0
1799-1800.pdf,1799,1800,2,6,1,3.0
1800.pdf,1800,1800,1,7,0,7.0
1801.pdf,1801,1801,1,8,0,8.0
1802.pdf,1802,1802,1,7,0,7.0
1803.pdf,1803,1803,1,9,0,9.0
1804.pdf,1804,1804,1,8,0,8.0
1805.pdf,1805,1805,1,8,0,8.0
1806.pdf,1806,1806,1,8,0,8.0
1807.pdf,1807,1807,1,7,0,7.0
1808.pdf,1808,1808,1,4,0,4.0
1809.pdf,1809,1809,1,13,0,13.0
1810.pdf,1810,1810,1,9,0,9.0
1811.pdf,1811,1811,1,7,0,7.0
1812.pdf,1812,1812,1,7,0,7.0
1813.pdf,1813,1813,1,7,0,7.0
1814.pdf,1814,1814,1,7,0,7.0
1815.pdf,1815,1815,1,5,0,5.0
1816.pdf,1816,1816,1,5,0,5.0
1817.pdf,1817,1817,1,11,0,11.0
1818.pdf,1818,1818,1,3,0,3.0
1819.pdf,1819,1819,1,6,0,6.0
1820.pdf,1820,1820,1,10,0,10.0
1821.pdf,1821,1821,1,11,0,11.0
1822.pdf,1822,1822,1,9,0,9.0
1823.pdf,1823,1823,1,11,0,11.0
1824.pdf,1824,1824,1,11,0,11.0
1825.pdf,1825,1825,1,12,0,12.0
1826.pdf,1826,1826,1,10,0,10.0
1827.pdf,1827,1827,1,12,0,12.0
1828.pdf,1828,1828,1,12,0,12.0
1829.pdf,1829,1829,1,13,0,13.0
1830.pdf,1830,1830,1,12,0,12.0
1831.pdf,1831,1831,1,12,0,12.0
1832.pdf,1832,1832,1,12,0,12.0
1833.pdf,1833,1833,1,11,0,11.0
1834.pdf,1834,1834,1,15,0,15.0
1835.pdf,1835,1835,1,12,0,12.0
1836.pdf,1836,1836,1,13,0,13.0
1837.pdf,1837,1837,1,13,0,13.0
1838.pdf,1838,1838,1,9,0,9.0
1839.pdf,1839,1839,1,11,0,11.0
1840.pdf,1840,1840,1,8,0,8.0
1841.pdf,1841,1841,1,10,0,10.0
1842.pdf,1842,1842,1,8,0,8.0
1843.pdf,1843,1843,1,12,0,12.0
1844.pdf,1844,1844,1,8,0,8.0
1845.pdf,1845,1845,1,10,0,10.0
1846.pdf,1846,1846,1,10,0,10.0
1847.pdf,1847,1847,1,10,0,10.0
1848.pdf,1848,1848,1,12,0,12.0
1849.pdf,1849,1849,1,9,0,9.0
1850.pdf,1850,1850,1,11,0,11.0
1851.pdf,1851,1851,1,7,0,7.0
1852.pdf,1852,1852,1,11,0,11.0
1853.pdf,1853,1853,1,11,0,11.0
1854.pdf,1854,1854,1,9,0,9.0
1855.pdf,1855,1855,1,10,0,10.0
1856.pdf,1856,1856,1,9,0,9.0
1857.pdf,1857,1857,1,7,0,7.0
1858.pdf,1858,1858,1,8,0,8.0
1859.pdf,1859,1859,1,6,0,6.0
1860.pdf,1860,1860,1,6,0,6.0
1861.pdf,1861,1861,1,8,0,8.0
1862.pdf,1862,1862,1,7,0,7.0
1863.pdf,1863,1863,1,8,0,8.0
1864.pdf,1864,1864,1,8,0,8.0
1865.pdf,1865,1865,1,6,0,6.0
1866.pdf,1866,1866,1,7,0,7.0
1867.pdf,1867,1867,1,7,0,7.0
1868.pdf,1868,1868,1,7,0,7.0
1869.pdf,1869,1869,1,9,0,9.0
1870.pdf,1870,1870,1,9,0,9.0
1871.pdf,1871,1871,1,9,0,9.0
1872.pdf,1872,1872,1,9,0,9.0
1873.pdf,1873,1873,1,17,0,17.0
1876.pdf,1876,1876,1,10,0,10.0
1877.pdf,1877,1877,1,9,0,9.0
1878.pdf,1878,1878,1,8,0,8.0
1879.pdf,1879,1879,1,9,0,9.0
1880.pdf,1880,1880,1,8,0,8.0
1881.pdf,1881,1881,1,12,0,12.0
1882.pdf,1882,1882,1,10,0,10.0
1883.pdf,1883,1883,1,5,0,5.0
1884.pdf,1884,1884,1,5,0,5.0
1885.pdf,1885,1885,1,1,0,1.0
1886.pdf,1886,1886,1,1,0,1.0
1889.pdf,1889,1889,1,5,0,5.0
1891.pdf,1891,1891,1,8,0,8.0
1892.pdf,1892,1892,1,4,0,4.0
1893.pdf,1893,1893,1,10,0,10.0
1894.pdf,1894,1894,1,6,0,6.0
1895.pdf,1895,1895,1,6,0,6.0
1896.pdf,1896,1896,1,6,0,6.0
1897.pdf,1897,1897,1,6,0,6.0
1898.pdf,1898,1898,1,6,0,6.0
1899.pdf,1899,1899,1,6,0,6.0
1900.pdf,1900,1900,1,6,0,6.0
