era,category,n_entries,amount_sum,amount_real,total_entries,total_amount,entry_share,amount_share
pre_1760,administrative,1276.0714285714287,7362.969717261904,7233.237715861,10872.357142857143,134174.0165922619,0.11736842451039005,0.054876271160883935
pre_1760,charitable,195.92857142857142,525.2675595238095,519.7894735300307,10872.357142857143,134174.0165922619,0.01802079980027987,0.003914823248677366
pre_1760,domestic,885.5,5067.721354166667,4975.190601200565,10872.357142857143,134174.0165922619,0.08144508024938737,0.03776976707470001
pre_1760,ecclesiastical,971.0,14958.654613095237,14730.991134426333,10872.357142857143,134174.0165922619,0.0893090603299324,0.11148697037633391
pre_1760,educational,378.85714285714283,3283.356547619048,3257.6697066764164,10872.357142857143,134174.0165922619,0.03484590672281605,0.024470882149982578
pre_1760,financial,407.14285714285717,28968.552083333332,28039.720075576755,10872.357142857143,134174.0165922619,0.037447524193071555,0.21590284631163087
pre_1760,land_rent,4416.357142857143,49501.15877976191,48811.57981466636,10872.357142857143,134174.0165922619,0.4062005216374423,0.3689325253650992
pre_1760,maintenance,472.42857142857144,3708.290029761905,3690.0676829861077,10872.357142857143,134174.0165922619,0.04345226754613601,0.02763791473151568
pre_1760,other,1134.9285714285713,14196.665625,13516.19386826568,10872.357142857143,134174.0165922619,0.10438661612345856,0.10580786046035943
pre_1760,salary_stipend,734.1428571428571,6601.380282738095,6427.023825168472,10872.357142857143,134174.0165922619,0.06752379888708586,0.049200139120817006
industrial_1760_1840,administrative,2732.9285714285716,48831.38132440476,27311.136290472656,15767.642857142857,923415.8854910714,0.17332511880116153,0.05288124461757152
industrial_1760_1840,charitable,336.07142857142856,2275.662648809524,1242.1894858014498,15767.642857142857,923415.8854910714,0.021313992942146438,0.0024643962536981152
industrial_1760_1840,domestic,833.5,11057.547395833333,6397.822589576557,15767.642857142857,923415.8854910714,0.05286142054025649,0.011974612489964847
industrial_1760_1840,ecclesiastical,1584.0,49005.57976190476,27694.257854556563,15767.642857142857,923415.8854910714,0.10045889638364282,0.05306989031907725
industrial_1760_1840,educational,363.14285714285717,7504.9517857142855,4463.309383140348,15767.642857142857,923415.8854910714,0.023030890567029224,0.008127379985154969
industrial_1760_1840,financial,1277.857142857143,399708.33645833336,216087.6686495477,15767.642857142857,923415.8854910714,0.08104300398193408,0.4328584148687988
industrial_1760_1840,land_rent,5203.642857142857,121060.39226190477,68916.52726461155,15767.642857142857,923415.8854910714,0.33002034002727104,0.13110061692032188
industrial_1760_1840,maintenance,1301.5714285714287,32458.834970238095,18020.101942809557,15767.642857142857,923415.8854910714,0.08254698818103984,0.03515083017331517
industrial_1760_1840,other,618.0714285714286,172537.83229166668,95070.08940039416,15767.642857142857,923415.8854910714,0.03919872070741618,0.1868473728929964
industrial_1760_1840,salary_stipend,1516.857142857143,78975.36659226191,42285.106686097824,15767.642857142857,923415.8854910714,0.0962006278681024,0.08552524147910116
post_1840,administrative,1889.0,133067.94270833334,77140.23784136196,11530.0,2105454.4458333333,0.16383347788378144,0.0632015301835065
post_1840,charitable,561.0,7461.554166666667,4321.3184711024205,11530.0,2105454.4458333333,0.048655680832610584,0.0035439162226629907
post_1840,domestic,562.0,54667.832291666666,31540.722928272553,11530.0,2105454.4458333333,0.04874241110147441,0.025964861125280382
post_1840,ecclesiastical,998.0,32205.5125,19079.42669466466,11530.0,2105454.4458333333,0.08655680832610581,0.01529622859508278
post_1840,educational,970.0,322184.6354166667,192754.85338664864,11530.0,2105454.4458333333,0.08412836079791847,0.15302379780966804
post_1840,financial,1952.0,1089451.5239583333,638798.4987524177,11530.0,2105454.4458333333,0.16929748482220294,0.5174424581421572
post_1840,land_rent,1416.0,99391.80625,58823.058758840685,11530.0,2105454.4458333333,0.1228100607111882,0.04720681867360991
post_1840,maintenance,1447.0,61261.87604166667,36008.06251172825,11530.0,2105454.4458333333,0.12549869904596705,0.029096747337803066
post_1840,other,575.0,185844.38645833332,108536.2383668589,11530.0,2105454.4458333333,0.04986990459670425,0.08826806337516203
post_1840,salary_stipend,1160.0,119917.37604166666,71664.91136190367,11530.0,2105454.4458333333,0.10060711188204684,0.05695557853506713
