keyword,group,first_year,peak_year,peak_count,pre_industrial_count,transition_count,early_industrial_count,late_industrial_count
anatomy,scientific_professorships,1700.0,1700.0,1.0,1.0,0.0,0.0,0.0
apparatus,scientific_infrastructure,1851.0,1851.0,1.0,0.0,0.0,1.0,3.0
bursary,scholarships_prizes,1708.0,1708.0,3.0,38.5,4.5,8.0,1.0
commission,reform_modernization,1724.0,1873.0,15.0,8.0,5.0,15.0,138.0
demy,scholarships_prizes,1730.0,1730.0,1.0,7.0,0.0,0.0,1.0
endowment,reform_modernization,1705.0,1884.0,10.0,15.0,0.0,9.0,85.0
examination,competitive_examinations,1702.0,1739.0,6.0,9.0,0.0,2.0,5.0
exhibition,scholarships_prizes,1733.0,1883.0,44.0,5.0,7.0,2.0,270.0
exhibitioner,scholarships_prizes,1866.0,1891.0,14.0,0.0,0.0,0.0,43.0
honour,competitive_examinations,1711.0,1867.0,3.0,3.0,3.0,2.0,13.0
honours,competitive_examinations,1861.0,1878.0,2.0,0.0,0.0,0.0,4.0
instrument,scientific_infrastructure,1755.0,1827.0,2.0,1.0,1.0,3.0,0.0
laboratory,scientific_infrastructure,1873.0,1873.0,2.0,0.0,0.0,0.0,4.0
lecture,lectures_teaching,1700.0,1891.0,4.0,38.0,19.0,1.0,17.0
lecturer,lectures_teaching,1708.0,1891.0,4.0,24.0,13.0,0.0,12.0
mathematics,scientific_professorships,1871.0,1871.0,2.0,0.0,0.0,0.0,2.0
open scholarship,scholarships_prizes,1832.0,1847.0,5.0,0.0,0.0,41.0,0.0
ordinance,reform_modernization,1741.0,1741.0,1.0,1.0,0.0,0.0,0.0
prize,scholarships_prizes,1725.0,1891.0,10.0,5.0,1.0,37.0,82.0
professor,scientific_professorships,1756.0,1891.0,3.0,1.0,3.0,0.0,16.0
reader,lectures_teaching,1707.0,1707.0,1.0,12.0,4.0,2.0,1.0
reform,reform_modernization,1716.0,1716.0,1.0,1.0,0.0,0.0,0.0
scholarship,scholarships_prizes,1733.0,1863.0,23.0,3.0,24.0,95.0,204.0
scientific,scientific_infrastructure,1882.0,1882.0,1.0,0.0,0.0,0.0,1.0
statute,reform_modernization,1705.0,1882.0,9.0,4.0,2.0,6.0,11.0
teaching,lectures_teaching,1707.0,1707.0,1.0,1.0,1.0,0.0,5.0
tutor,lectures_teaching,1761.0,1891.0,4.0,1.0,5.0,4.0,19.0
tutorial,lectures_teaching,1868.0,1868.0,2.0,0.0,0.0,0.0,3.0
