category,n_decades,mean_pairwise_sim,min_pairwise_sim
charitable,21,0.29329858724048025,0.0016755464113663912
other,21,0.30643781132329806,0.0009032536778712344
educational,21,0.3256498276323044,0.028946128732891627
financial,21,0.34694652292426,0.016757803535951295
domestic,21,0.41220184120143427,0.010406458244068367
salary_stipend,21,0.509082507382896,0.05637799020117185
ecclesiastical,21,0.5369316653322584,0.015609727606077905
administrative,21,0.539913218222959,0.02641472536378546
maintenance,21,0.5568594882338684,0.009137475124151712
land_rent,21,0.5786783864607578,0.1069173979719901
